time,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000000000000000e+00,-5.488876116983655962e+00,-6.852903556875528324e+00,2.545678042688361842e-01,1.221009772793880543e+01,1.771257812908507745e+01,3.935966173247804178e+00,-1.166041706453115623e+01,-1.841171440869672793e+01
1.666666999999999932e-03,-5.226104694447867516e+00,-7.009999510187258309e+00,-2.724122691865760171e-01,1.198362559928917825e+01,1.831286668156715791e+01,4.687284206950666388e+00,-1.099201314864534851e+01,-1.817483414852387114e+01
3.333332999999999956e-03,-4.963041993980759514e+00,-7.166261385322851396e+00,-7.991289713018773222e-01,1.175631810287308454e+01,1.891206440962001878e+01,5.439852751983747403e+00,-1.032183277789139808e+01,-1.793689932746599425e+01
5.000000000000000104e-03,-4.699291691805028037e+00,-7.320827624306211590e+00,-1.325238481182721584e+00,1.152685045644232709e+01,1.950833160737150251e+01,6.195469099414363967e+00,-9.647166934569940011e+00,-1.769623897701385218e+01
6.666667000000000252e-03,-4.434426667498851948e+00,-7.472779806414831860e+00,-1.850385535254239322e+00,1.129340644323437992e+01,2.009892466302429170e+01,6.956266956178833283e+00,-8.964497840319063826e+00,-1.745056866359435688e+01
8.333333000000000060e-03,-4.167968663032471710e+00,-7.621268906621473604e+00,-2.374355815621472576e+00,1.105379765072789588e+01,2.068041180208163254e+01,7.724320577511395669e+00,-8.269884266355710167e+00,-1.719714785373626498e+01
1.000000000000000021e-02,-3.899092595961018759e+00,-7.765554173787107217e+00,-2.897058047675912018e+00,1.080558367830796307e+01,2.124910644332378951e+01,8.501294244886086204e+00,-7.559311330076067037e+00,-1.693293529708266476e+01
1.166666700000000036e-02,-3.627022711962631707e+00,-7.904936620525083946e+00,-3.418443966321833560e+00,1.054618591302701880e+01,2.180103183937100653e+01,9.288310830279826291e+00,-6.828866892892976104e+00,-1.665473560473216352e+01
1.333333299999999930e-02,-3.350836419131304922e+00,-8.038675002565454975e+00,-3.938383865545066698e+00,1.027297347774474723e+01,2.233198880879857740e+01,1.008599158540772045e+01,-6.074782971217075556e+00,-1.635931262702100497e+01
1.499999999999999944e-02,-3.069838319025858464e+00,-8.165904539700086673e+00,-4.456648509436842431e+00,9.983349196031054973e+00,2.283765722941245357e+01,1.089444639944169424e+01,-5.293492414710480709e+00,-1.604336876545530544e+01
1.666666699999999959e-02,-2.783782664027530274e+00,-8.285591453832712006e+00,-4.972937772208493534e+00,9.674842660871949107e+00,2.331365949428686335e+01,1.171325994124378234e+01,-4.481708074340026826e+00,-1.570365228546070036e+01
1.833333300000000027e-02,-2.492889626284073401e+00,-8.396597687110682884e+00,-5.486862890794949266e+00,9.345140591852011624e+00,2.375561551652607761e+01,1.254155382119542494e+01,-3.636366688029734284e+00,-1.533708955366675042e+01
2.000000000000000042e-02,-2.197501396569921717e+00,-8.497655259650461090e+00,-5.997903463319515183e+00,8.992165360766374960e+00,2.415918455210215754e+01,1.337793191833892514e+01,-2.754733512030985043e+00,-1.494074924140041283e+01
2.166666700000000056e-02,-1.897928000069070142e+00,-8.587366317540459093e+00,-6.505371747103628977e+00,8.614106913737138882e+00,2.452007609453235659e+01,1.422051174623311098e+01,-1.834513734986747746e+00,-1.451174413029477783e+01
2.333333300000000124e-02,-1.594392343693269654e+00,-8.664365709747050559e+00,-7.008418638578572057e+00,8.209456214131014562e+00,2.483407355011146223e+01,1.506692655575750095e+01,-8.737262215902825702e-01,-1.404724822954498364e+01
2.500000000000000139e-02,-1.287098308044811290e+00,-8.727376418942290215e+00,-7.506038257861225027e+00,7.777052492869534817e+00,2.509708293000440094e+01,1.591433496685772653e+01,1.293429715913343436e-01,-1.354448263988080825e+01
2.666666700000000154e-02,-9.762274270107477170e-01,-8.775228356600514701e+00,-7.997086302764753185e+00,7.316000598534342814e+00,2.530518663649161937e+01,1.675952399843047758e+01,1.176202566284778150e+00,-1.300067545182758622e+01
2.833333299999999874e-02,-6.619188225381749113e-01,-8.806926952917342177e+00,-8.480402541691042018e+00,6.825686194344145363e+00,2.545474068705570403e+01,1.759891148240586389e+01,2.267971945041398207e+00,-1.241298821008299313e+01
2.999999999999999889e-02,-3.443323948677773361e-01,-8.821695548439471679e+00,-8.954803045087839308e+00,6.305834003164403789e+00,2.554242778963973848e+01,1.842852293275023357e+01,3.405405047437726207e+00,-1.177847062800521449e+01
3.166666700000000251e-02,-2.377974690427897553e-02,-8.818966927412665413e+00,-9.419061042674202966e+00,5.756485573658073562e+00,2.556526821318216136e+01,1.924405974237112105e+01,4.589011968832593880e+00,-1.109416713572188762e+01
3.333333299999999971e-02,2.991591103606066615e-01,-8.798360948176451757e+00,-9.872018140227901029e+00,5.177946459516958200e+00,2.552075010823293510e+01,2.004101018042077698e+01,5.819090910958577112e+00,-1.035708171536820288e+01
3.500000000000000333e-02,6.236403105229219035e-01,-8.759667510283881242e+00,-1.031257383191521448e+01,4.570769031969846630e+00,2.540683023616762171e+01,2.081464211087964955e+01,7.095616555178243523e+00,-9.564004714629273707e+00
3.666666700000000001e-02,9.486353566041222374e-01,-8.702835382015752685e+00,-1.073966336116592935e+01,3.935747360200922085e+00,2.522191630368637760e+01,2.155999213104358958e+01,8.418093605739780827e+00,-8.711568270363910571e+00
3.833333299999999721e-02,1.272954350268521884e+00,-8.627954649518757790e+00,-1.115227489649767101e+01,3.273924288328975418e+00,2.496488134528900460e+01,2.227186957790416599e+01,9.785502164520346824e+00,-7.796239588691907585e+00
4.000000000000000083e-02,1.595371547239992083e+00,-8.535230483149465641e+00,-1.154941675463422612e+01,2.586547411753683079e+00,2.463510536998871814e+01,2.294496964010921758e+01,1.119629493786237617e+01,-6.814475909424499989e+00
4.166666699999999751e-02,1.914717855596486551e+00,-8.424973812311900900e+00,-1.193009568550730570e+01,1.875099320276802484e+00,2.423250331397952451e+01,2.357391494046893499e+01,1.264830565507154247e+01,-5.762755668227565131e+00
4.333333300000000166e-02,2.229830748075034563e+00,-8.297593501456878684e+00,-1.229335085411743300e+01,1.141299020354506588e+00,2.375746333256209653e+01,2.415332916497191462e+01,1.413880738576448337e+01,-4.637668394072234079e+00
4.499999999999999833e-02,2.539519766251344013e+00,-8.153580547853028548e+00,-1.263822726416109177e+01,3.870025666229509609e-01,2.321080403527999891e+01,2.467795626802726972e+01,1.566450078533361179e+01,-3.435949807574736337e+00
4.666666700000000195e-02,2.842733522128398249e+00,-7.993521167847220887e+00,-1.296377526828450399e+01,-3.858285151808489299e-01,2.259381983559051932e+01,2.514273343432165220e+01,1.722137675208493945e+01,-2.154698401787586981e+00
4.833333299999999916e-02,3.138620304777832715e+00,-7.818115039169591718e+00,-1.326909671347606867e+01,-1.175145387857691626e+00,2.190831247171970730e+01,2.554286008283770570e+01,1.880463213004701828e+01,-7.914885228587904553e-01
5.000000000000000278e-02,3.426563618682595624e+00,-7.628149320660921440e+00,-1.355332536002324773e+01,-1.978816634500034644e+00,2.115652105175552222e+01,2.587385459278990041e+01,2.040872510202575896e+01,6.555083802924051017e-01
5.166666699999999945e-02,3.706158343900492369e+00,-7.424433058960055121e+00,-1.381558664029893357e+01,-2.794704802533802379e+00,2.034111702805234501e+01,2.613168633922886741e+01,2.202722079726593307e+01,2.187318842674414121e+00
5.333333299999999666e-02,3.977204120411250265e+00,-7.207789368280469233e+00,-1.405496342920535291e+01,-3.620734941557405495e+00,1.946509615737014443e+01,2.631298117541155435e+01,2.365288553391691551e+01,3.803986083337581370e+00
5.500000000000000028e-02,4.239620869911384204e+00,-6.979079805507875101e+00,-1.427058558354351980e+01,-4.454839375007465740e+00,1.853179263500330975e+01,2.641509592285224528e+01,2.527769662877139112e+01,5.504365676372247052e+00
5.666666699999999696e-02,4.493371001240946683e+00,-6.739142171668204284e+00,-1.446165211173529563e+01,-5.295000478644652731e+00,1.754476788861072123e+01,2.643620455285748250e+01,2.689294551795100219e+01,7.285931886496363141e+00
5.833333300000000110e-02,4.738472583230672441e+00,-6.488788706808507278e+00,-1.462748064914645418e+01,-6.139193703519715939e+00,1.650776617155832682e+01,2.637526339877412696e+01,2.848928986143360476e+01,9.144806101214770777e+00
5.999999999999999778e-02,4.974937030508478131e+00,-6.228811850949102613e+00,-1.476748262978809656e+01,-6.985389042165581763e+00,1.542461636110094503e+01,2.623195705048907911e+01,3.005682581132058928e+01,1.107564865390284581e+01
6.166666700000000140e-02,5.202681384527267028e+00,-5.959893632118510531e+00,-1.488113160179687355e+01,-7.831596408279793309e+00,1.429915957537539128e+01,2.600667958644978128e+01,3.158528951561782705e+01,1.307149591569045199e+01
6.333333300000000554e-02,5.421493498833036107e+00,-5.682634788232453715e+00,-1.496792972034798908e+01,-8.675871222910950920e+00,1.313525198819931106e+01,2.570055063574945109e+01,3.306417659074843840e+01,1.512383197463138274e+01
6.500000000000000222e-02,5.630948597870407468e+00,-5.397612649673268592e+00,-1.502739290331889244e+01,-9.516230386179101330e+00,1.193668199865165747e+01,2.531543127361054246e+01,3.448286317978769944e+01,1.722249275098803878e+01
6.666666699999999890e-02,5.830311302894147119e+00,-5.105402302942853687e+00,-1.505905198384104793e+01,-1.035064579937128215e+01,1.070709055376751984e+01,2.485387393604818840e+01,3.583087636376954777e+01,1.935573697836375118e+01
6.833333299999999610e-02,6.018443223411457765e+00,-4.806520060331523680e+00,-1.506246366863853048e+01,-1.117704409689739542e+01,9.450052934274980387e+00,2.431906102602664532e+01,3.709794077897802111e+01,2.151024071039159935e+01
7.000000000000000666e-02,6.193784677606004152e+00,-4.501382479242586498e+00,-1.503719863894384012e+01,-1.199324476285753605e+01,8.169030984691241670e+00,2.371471262454393880e+01,3.827423219030992385e+01,2.367123997764534238e+01
7.166666700000000334e-02,6.354549263220143906e+00,-4.190330678045245172e+00,-1.498284000152573192e+01,-1.279699318726747137e+01,6.867295485824400636e+00,2.304492731907393122e+01,3.935060132194763582e+01,2.582289602437199250e+01
7.333333300000000055e-02,6.498847117743911994e+00,-3.873678779318953325e+00,-1.489897350576888790e+01,-1.358594033731407968e+01,5.547924116603988764e+00,2.231412906526530193e+01,4.031873021056384943e+01,2.794842960529401310e+01
7.499999999999999722e-02,6.625136146755009392e+00,-3.551719681298807441e+00,-1.478518453293500912e+01,-1.435760459080779761e+01,4.213827235120470860e+00,2.152697862390461836e+01,4.117129121048863283e+01,3.003049768248169826e+01
7.666666699999999390e-02,6.732285230262923470e+00,-3.224688838150203907e+00,-1.464106920769605757e+01,-1.510942810124467606e+01,2.867798123818546596e+00,2.068825980935465481e+01,4.190216847901423591e+01,3.205145104500711994e+01
7.833333300000000499e-02,6.819508320876130014e+00,-2.892793414990582068e+00,-1.446625888644883062e+01,-1.583877121529428678e+01,1.512478320380851171e+00,1.980272603611529192e+01,4.250670976953448132e+01,3.399377557964130148e+01
8.000000000000000167e-02,6.886333184160998933e+00,-2.556185995631001351e+00,-1.426044678091024309e+01,-1.654288269581201831e+01,1.504079525090717406e-01,1.887497168060980357e+01,4.298168420555900582e+01,3.584053743333024045e+01
8.166666699999999834e-02,6.932577520690063722e+00,-2.214963506319295838e+00,-1.402338020061882418e+01,-1.721891869883117820e+01,-1.215954407314348229e+00,1.790934890744768992e+01,4.332509164080988739e+01,3.757588597244556183e+01
8.333333299999999555e-02,6.958324519093654459e+00,-1.869211604290379469e+00,-1.375484242300476367e+01,-1.786400409503370668e+01,-2.584233290281448880e+00,1.690991974163731015e+01,4.353621689053832000e+01,3.918536588901299211e+01
8.500000000000000611e-02,6.963905198077463332e+00,-1.519039039190458462e+00,-1.345464926490082647e+01,-1.847525745187740398e+01,-3.952172652561419142e+00,1.588037744416704022e+01,4.361548213520598694e+01,4.065617106818084636e+01
8.666666700000000279e-02,6.949889504100260851e+00,-1.164617515427840422e+00,-1.312269138014760905e+01,-1.904976146701067918e+01,-5.317554216700529857e+00,1.482403939318620800e+01,4.356427450517608690e+01,4.197747216762277844e+01
8.833333299999999999e-02,6.917088496138791953e+00,-8.060801088552609350e-01,-1.275899929600748806e+01,-1.958462849896676161e+01,-6.678057093845922054e+00,1.374386742849917376e+01,4.338483612774980003e+01,4.314056968642434242e+01
8.999999999999999667e-02,6.866563795495205014e+00,-4.435283316000556697e-01,-1.236373350112419978e+01,-2.007708254127100744e+01,-8.031278099900298173e+00,1.264239350076539026e+01,4.308020264100048990e+01,4.413916025353408656e+01
9.166666699999999335e-02,6.799646575016219607e+00,-7.703048159877093348e-02,-1.193724102070325266e+01,-2.052447777717986099e+01,-9.374695795991209835e+00,1.152182853009738039e+01,4.265415610509636934e+01,4.496943592318572058e+01
9.333333300000000443e-02,6.717911952497110484e+00,2.933371773094345936e-01,-1.148005974979693988e+01,-2.092429444329358645e+01,-1.070566948455747180e+01,1.038412825638868320e+01,4.211120336913420203e+01,4.562985988334075671e+01
9.500000000000000111e-02,6.622964965139798821e+00,6.674879294427894516e-01,-1.099288437601010848e+01,-2.127410645477110407e+01,-1.202144398015822979e+01,9.231012602291842839e+00,4.145650530054875560e+01,4.612101764090016331e+01
9.666666699999999779e-02,6.516312736323871313e+00,1.045253615724142549e+00,-1.047654204325190896e+01,-2.157160147328556832e+01,-1.331912118042576232e+01,8.063994887500081532e+00,4.069559467838907096e+01,4.644532708593309422e+01
9.833333299999999499e-02,6.399462072205490237e+00,1.426441375594142524e+00,-9.931991740783391975e+00,-2.181466263034195663e+01,-1.459571063183583206e+01,6.884338340583316729e+00,3.983430759842138968e+01,4.660676636964414854e+01
1.000000000000000056e-01,6.273819401850609268e+00,1.810858452149493036e+00,-9.360330847040186697e+00,-2.200146663057696372e+01,-1.584804844149583047e+01,5.693171368769637475e+00,3.887862512381266811e+01,4.661067710993363278e+01
1.016666670000000022e-01,6.140548883276458092e+00,2.198261097973894795e+00,-8.762872065081126038e+00,-2.213051783769203240e+01,-1.707262299188681709e+01,4.491581651716778367e+00,3.783434231797259883e+01,4.646360871675939563e+01
1.033333329999999994e-01,6.000560778118938288e+00,2.588259153784532085e+00,-8.141128187406236449e+00,-2.220063433436471101e+01,-1.826561196125670605e+01,3.280677997068301988e+00,3.670691318006554837e+01,4.617305223471822728e+01
1.049999999999999961e-01,5.854554849734577182e+00,2.980335289965915013e+00,-7.496775284762025038e+00,-2.221090573719845906e+01,-1.942307557481619540e+01,2.061641910129154098e+00,3.550156829703333017e+01,4.574702196557155531e+01
